disease,antecedent,consequent,support,confidence
Alcoholic hepatitis, vomiting, fluid_overload,0.9,0.947
Alcoholic hepatitis, distention_of_abdomen, swelling_of_stomach,0.9,0.947
Alcoholic hepatitis, swelling_of_stomach, distention_of_abdomen,0.9,0.947
Alcoholic hepatitis, swelling_of_stomach, yellowish_skin,0.9,0.947
Alcoholic hepatitis, yellowish_skin, swelling_of_stomach,0.9,0.947
Alcoholic hepatitis, fluid_overload, history_of_alcohol_consumption,0.9,0.947
Alcoholic hepatitis, history_of_alcohol_consumption, fluid_overload,0.9,0.947
Alcoholic hepatitis, fluid_overload, yellowish_skin,0.9,0.947
Alcoholic hepatitis, yellowish_skin, fluid_overload,0.9,0.947
Alcoholic hepatitis, swelling_of_stomach, vomiting,0.9,0.947
Alcoholic hepatitis, vomiting, swelling_of_stomach,0.9,0.947
Alcoholic hepatitis, abdominal_pain, vomiting,0.9,0.947
Alcoholic hepatitis, vomiting, abdominal_pain,0.9,0.947
Alcoholic hepatitis, history_of_alcohol_consumption, swelling_of_stomach,0.9,0.947
Alcoholic hepatitis, swelling_of_stomach, history_of_alcohol_consumption,0.9,0.947
Alcoholic hepatitis, abdominal_pain, yellowish_skin,0.9,0.947
Alcoholic hepatitis, yellowish_skin, abdominal_pain,0.9,0.947
Alcoholic hepatitis, abdominal_pain, history_of_alcohol_consumption,0.9,0.947
Alcoholic hepatitis, history_of_alcohol_consumption, abdominal_pain,0.9,0.947
Alcoholic hepatitis, abdominal_pain, fluid_overload,0.9,0.947
Alcoholic hepatitis, fluid_overload, abdominal_pain,0.9,0.947
Alcoholic hepatitis, abdominal_pain, swelling_of_stomach,0.9,0.947
Alcoholic hepatitis, swelling_of_stomach, abdominal_pain,0.9,0.947
Alcoholic hepatitis, fluid_overload, swelling_of_stomach,0.9,0.947
Alcoholic hepatitis, swelling_of_stomach, fluid_overload,0.9,0.947
Alcoholic hepatitis, vomiting, yellowish_skin,0.9,0.947
Alcoholic hepatitis, yellowish_skin, vomiting,0.9,0.947
Alcoholic hepatitis, history_of_alcohol_consumption, vomiting,0.9,0.947
Alcoholic hepatitis, vomiting, history_of_alcohol_consumption,0.9,0.947
Alcoholic hepatitis, distention_of_abdomen, yellowish_skin,0.9,0.947
Alcoholic hepatitis, yellowish_skin, distention_of_abdomen,0.9,0.947
Alcoholic hepatitis, distention_of_abdomen, history_of_alcohol_consumption,0.9,0.947
Alcoholic hepatitis, history_of_alcohol_consumption, distention_of_abdomen,0.9,0.947
Alcoholic hepatitis, abdominal_pain, distention_of_abdomen,0.9,0.947
Alcoholic hepatitis, distention_of_abdomen, abdominal_pain,0.9,0.947
Alcoholic hepatitis, history_of_alcohol_consumption, yellowish_skin,0.9,0.947
Alcoholic hepatitis, yellowish_skin, history_of_alcohol_consumption,0.9,0.947
Alcoholic hepatitis, distention_of_abdomen, vomiting,0.9,0.947
Alcoholic hepatitis, vomiting, distention_of_abdomen,0.9,0.947
Alcoholic hepatitis, distention_of_abdomen, fluid_overload,0.9,0.947
Alcoholic hepatitis, fluid_overload, distention_of_abdomen,0.9,0.947
Alcoholic hepatitis, fluid_overload, vomiting,0.9,0.947
Alcoholic hepatitis, vomiting, fluid_overload,0.9,0.947
Alcoholic hepatitis, distention_of_abdomen," history_of_alcohol_consumption,  vomiting",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," distention_of_abdomen,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," distention_of_abdomen,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  history_of_alcohol_consumption", vomiting,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  vomiting", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  vomiting", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, fluid_overload," swelling_of_stomach,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," swelling_of_stomach,  fluid_overload",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," history_of_alcohol_consumption,  fluid_overload",0.85,0.895
Alcoholic hepatitis," history_of_alcohol_consumption,  fluid_overload", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  fluid_overload", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  history_of_alcohol_consumption", fluid_overload,0.85,0.944
Alcoholic hepatitis, abdominal_pain," fluid_overload,  vomiting",0.85,0.895
Alcoholic hepatitis, fluid_overload," abdominal_pain,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," abdominal_pain,  fluid_overload",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  fluid_overload", vomiting,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  vomiting", fluid_overload,0.85,0.944
Alcoholic hepatitis," fluid_overload,  vomiting", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," swelling_of_stomach,  fluid_overload",0.85,0.895
Alcoholic hepatitis, fluid_overload," abdominal_pain,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," abdominal_pain,  fluid_overload",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  fluid_overload", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  swelling_of_stomach", fluid_overload,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  fluid_overload", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," yellowish_skin,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," abdominal_pain,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," abdominal_pain,  vomiting",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  vomiting", yellowish_skin,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  yellowish_skin", vomiting,0.85,0.944
Alcoholic hepatitis," yellowish_skin,  vomiting", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," history_of_alcohol_consumption,  vomiting",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," abdominal_pain,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," abdominal_pain,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  history_of_alcohol_consumption", vomiting,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  vomiting", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  vomiting", abdominal_pain,0.85,0.944
Alcoholic hepatitis, swelling_of_stomach," yellowish_skin,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," swelling_of_stomach,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," swelling_of_stomach,  vomiting",0.85,0.895
Alcoholic hepatitis," swelling_of_stomach,  vomiting", yellowish_skin,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  yellowish_skin", vomiting,0.85,0.944
Alcoholic hepatitis," yellowish_skin,  vomiting", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," swelling_of_stomach,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," distention_of_abdomen,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," distention_of_abdomen,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  swelling_of_stomach", yellowish_skin,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  yellowish_skin", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  yellowish_skin", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, fluid_overload," swelling_of_stomach,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," fluid_overload,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," swelling_of_stomach,  fluid_overload",0.85,0.895
Alcoholic hepatitis," swelling_of_stomach,  fluid_overload", yellowish_skin,0.85,0.944
Alcoholic hepatitis," fluid_overload,  yellowish_skin", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  yellowish_skin", fluid_overload,0.85,0.944
Alcoholic hepatitis, abdominal_pain," swelling_of_stomach,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," abdominal_pain,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," abdominal_pain,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  swelling_of_stomach", yellowish_skin,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  yellowish_skin", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  yellowish_skin", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," history_of_alcohol_consumption,  fluid_overload",0.85,0.895
Alcoholic hepatitis, fluid_overload," abdominal_pain,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," abdominal_pain,  fluid_overload",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  fluid_overload", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  history_of_alcohol_consumption", fluid_overload,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  fluid_overload", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," fluid_overload,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, fluid_overload," abdominal_pain,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," abdominal_pain,  fluid_overload",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  fluid_overload", yellowish_skin,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  yellowish_skin", fluid_overload,0.85,0.944
Alcoholic hepatitis," fluid_overload,  yellowish_skin", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," swelling_of_stomach,  vomiting",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," abdominal_pain,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," abdominal_pain,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  swelling_of_stomach", vomiting,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  vomiting", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  vomiting", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," history_of_alcohol_consumption,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," abdominal_pain,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," abdominal_pain,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  history_of_alcohol_consumption", yellowish_skin,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  yellowish_skin", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  yellowish_skin", abdominal_pain,0.85,0.944
Alcoholic hepatitis, history_of_alcohol_consumption," swelling_of_stomach,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," history_of_alcohol_consumption,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," swelling_of_stomach,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," swelling_of_stomach,  history_of_alcohol_consumption", yellowish_skin,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  yellowish_skin", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  yellowish_skin", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis, fluid_overload," history_of_alcohol_consumption,  vomiting",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," fluid_overload,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," history_of_alcohol_consumption,  fluid_overload",0.85,0.895
Alcoholic hepatitis," history_of_alcohol_consumption,  fluid_overload", vomiting,0.85,0.944
Alcoholic hepatitis," fluid_overload,  vomiting", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  vomiting", fluid_overload,0.85,0.944
Alcoholic hepatitis, fluid_overload," yellowish_skin,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," fluid_overload,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," fluid_overload,  vomiting",0.85,0.895
Alcoholic hepatitis," fluid_overload,  vomiting", yellowish_skin,0.85,0.944
Alcoholic hepatitis," fluid_overload,  yellowish_skin", vomiting,0.85,0.944
Alcoholic hepatitis," yellowish_skin,  vomiting", fluid_overload,0.85,0.944
Alcoholic hepatitis, history_of_alcohol_consumption," swelling_of_stomach,  vomiting",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," history_of_alcohol_consumption,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," swelling_of_stomach,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," swelling_of_stomach,  history_of_alcohol_consumption", vomiting,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  vomiting", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  vomiting", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," history_of_alcohol_consumption,  fluid_overload",0.85,0.895
Alcoholic hepatitis, fluid_overload," distention_of_abdomen,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," distention_of_abdomen,  fluid_overload",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  fluid_overload", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  history_of_alcohol_consumption", fluid_overload,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  fluid_overload", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," fluid_overload,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, fluid_overload," distention_of_abdomen,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," distention_of_abdomen,  fluid_overload",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  fluid_overload", yellowish_skin,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  yellowish_skin", fluid_overload,0.85,0.944
Alcoholic hepatitis," fluid_overload,  yellowish_skin", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," swelling_of_stomach,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," distention_of_abdomen,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," distention_of_abdomen,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  history_of_alcohol_consumption", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  swelling_of_stomach", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  history_of_alcohol_consumption", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, abdominal_pain," swelling_of_stomach,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," abdominal_pain,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," abdominal_pain,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  history_of_alcohol_consumption", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  swelling_of_stomach", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  history_of_alcohol_consumption", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," distention_of_abdomen,  fluid_overload",0.85,0.895
Alcoholic hepatitis, distention_of_abdomen," abdominal_pain,  fluid_overload",0.85,0.895
Alcoholic hepatitis, fluid_overload," abdominal_pain,  distention_of_abdomen",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  distention_of_abdomen", fluid_overload,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  fluid_overload", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  fluid_overload", abdominal_pain,0.85,0.944
Alcoholic hepatitis, fluid_overload," history_of_alcohol_consumption,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," fluid_overload,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," history_of_alcohol_consumption,  fluid_overload",0.85,0.895
Alcoholic hepatitis," history_of_alcohol_consumption,  fluid_overload", yellowish_skin,0.85,0.944
Alcoholic hepatitis," fluid_overload,  yellowish_skin", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  yellowish_skin", fluid_overload,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," fluid_overload,  vomiting",0.85,0.895
Alcoholic hepatitis, fluid_overload," distention_of_abdomen,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," distention_of_abdomen,  fluid_overload",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  fluid_overload", vomiting,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  vomiting", fluid_overload,0.85,0.944
Alcoholic hepatitis," fluid_overload,  vomiting", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," swelling_of_stomach,  vomiting",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," distention_of_abdomen,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," distention_of_abdomen,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  swelling_of_stomach", vomiting,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  vomiting", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  vomiting", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, abdominal_pain," distention_of_abdomen,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, distention_of_abdomen," abdominal_pain,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," abdominal_pain,  distention_of_abdomen",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  distention_of_abdomen", yellowish_skin,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  yellowish_skin", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  yellowish_skin", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," distention_of_abdomen,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, distention_of_abdomen," abdominal_pain,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," abdominal_pain,  distention_of_abdomen",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  distention_of_abdomen", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  history_of_alcohol_consumption", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  history_of_alcohol_consumption", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," distention_of_abdomen,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis, distention_of_abdomen," abdominal_pain,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," abdominal_pain,  distention_of_abdomen",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  distention_of_abdomen", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  swelling_of_stomach", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  swelling_of_stomach", abdominal_pain,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," swelling_of_stomach,  fluid_overload",0.85,0.895
Alcoholic hepatitis, fluid_overload," distention_of_abdomen,  swelling_of_stomach",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," distention_of_abdomen,  fluid_overload",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  fluid_overload", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  swelling_of_stomach", fluid_overload,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  fluid_overload", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," history_of_alcohol_consumption,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," distention_of_abdomen,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," distention_of_abdomen,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  history_of_alcohol_consumption", yellowish_skin,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  yellowish_skin", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  yellowish_skin", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, fluid_overload," swelling_of_stomach,  vomiting",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," fluid_overload,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," swelling_of_stomach,  fluid_overload",0.85,0.895
Alcoholic hepatitis," swelling_of_stomach,  fluid_overload", vomiting,0.85,0.944
Alcoholic hepatitis," fluid_overload,  vomiting", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  vomiting", fluid_overload,0.85,0.944
Alcoholic hepatitis, history_of_alcohol_consumption," yellowish_skin,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," history_of_alcohol_consumption,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," history_of_alcohol_consumption,  vomiting",0.85,0.895
Alcoholic hepatitis," history_of_alcohol_consumption,  vomiting", yellowish_skin,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  yellowish_skin", vomiting,0.85,0.944
Alcoholic hepatitis," yellowish_skin,  vomiting", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis, abdominal_pain," distention_of_abdomen,  vomiting",0.85,0.895
Alcoholic hepatitis, distention_of_abdomen," abdominal_pain,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," abdominal_pain,  distention_of_abdomen",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  distention_of_abdomen", vomiting,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  vomiting", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  vomiting", abdominal_pain,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," yellowish_skin,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," distention_of_abdomen,  yellowish_skin",0.85,0.895
Alcoholic hepatitis, yellowish_skin," distention_of_abdomen,  vomiting",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  vomiting", yellowish_skin,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  yellowish_skin", vomiting,0.85,0.944
Alcoholic hepatitis," yellowish_skin,  vomiting", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, distention_of_abdomen," history_of_alcohol_consumption,  vomiting",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," distention_of_abdomen,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," distention_of_abdomen,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis," distention_of_abdomen,  history_of_alcohol_consumption", vomiting,0.85,0.944
Alcoholic hepatitis," distention_of_abdomen,  vomiting", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," history_of_alcohol_consumption,  vomiting", distention_of_abdomen,0.85,0.944
Alcoholic hepatitis, fluid_overload," swelling_of_stomach,  history_of_alcohol_consumption",0.85,0.895
Alcoholic hepatitis, history_of_alcohol_consumption," swelling_of_stomach,  fluid_overload",0.85,0.895
Alcoholic hepatitis, swelling_of_stomach," history_of_alcohol_consumption,  fluid_overload",0.85,0.895
Alcoholic hepatitis," history_of_alcohol_consumption,  fluid_overload", swelling_of_stomach,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  fluid_overload", history_of_alcohol_consumption,0.85,0.944
Alcoholic hepatitis," swelling_of_stomach,  history_of_alcohol_consumption", fluid_overload,0.85,0.944
Alcoholic hepatitis, abdominal_pain," fluid_overload,  vomiting",0.85,0.895
Alcoholic hepatitis, fluid_overload," abdominal_pain,  vomiting",0.85,0.895
Alcoholic hepatitis, vomiting," abdominal_pain,  fluid_overload",0.85,0.895
Alcoholic hepatitis," abdominal_pain,  fluid_overload", vomiting,0.85,0.944
Alcoholic hepatitis," abdominal_pain,  vomiting", fluid_overload,0.85,0.944
Alcoholic hepatitis," fluid_overload,  vomiting", abdominal_pain,0.85,0.944
Alcoholic hepatitis, abdominal_pain," swelling_of_stomach,  fluid_overload",0.85,0.895
